city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tarnaveni,46.3297,24.27,Romania,RO,Mures,,22075,22075
Popesti-Leordeni,44.38,26.17,Romania,RO,Ilfov,,21895,21895
Moinesti,46.4847,26.4964,Romania,RO,Bacau,,21787,21787
Codlea,45.6958,25.4497,Romania,RO,Brasov,,21708,21708
Cugir,45.8436,23.3636,Romania,RO,Alba,,21376,21376
Carei,47.69,22.47,Romania,RO,Satu Mare,,21112,21112
Gherla,47.02,23.9,Romania,RO,Cluj,,20982,20982
Scobinti,47.4016,26.9141,Romania,RO,Iasi,,20700,20700
Blaj,46.1753,23.9144,Romania,RO,Alba,,20630,20630
Floresti,46.7475,23.4908,Romania,RO,Cluj,,20256,20256
Comanesti,46.4132,26.4362,Romania,RO,Bacau,,19568,19568
Motru,44.8042,22.9694,Romania,RO,Gorj,,19079,19079
Targu Neamt,47.2025,26.3586,Romania,RO,Neamt,,18695,18695
Moreni,44.9803,25.6444,Romania,RO,Dambovita,,18687,18687
Toflea,46.0637,27.3341,Romania,RO,Galati,,18521,18521
Targu Secuiesc,45.9969,26.1406,Romania,RO,Covasna,,18491,18491
Gheorgheni,46.72,25.59,Romania,RO,Harghita,,18377,18377
Orastie,45.8403,23.1994,Romania,RO,Hunedoara,,18227,18227
Bals,44.3542,24.0986,Romania,RO,Olt,,18164,18164
Baicoi,45.0453,25.8658,Romania,RO,Prahova,,17981,17981
Dragasani,44.6611,24.2639,Romania,RO,Valcea,,17871,17871
Salonta,46.8,21.65,Romania,RO,Bihor,,17735,17735
Bailesti,44.0308,23.3525,Romania,RO,Dolj,,17437,17437
Calafat,43.9858,22.9575,Romania,RO,Dolj,,17336,17336
Cernavoda,44.3381,28.0336,Romania,RO,Ialomita,,17022,17022
Filiasi,44.5539,23.529,Romania,RO,Dolj,,16900,16900
Campulung Moldovenesc,47.5308,25.5514,Romania,RO,Suceava,,16722,16722
Corabia,43.7736,24.5033,Romania,RO,Olt,,16441,16441
Adjud,46.1,27.1797,Romania,RO,Vrancea,,16045,16045
Breaza,45.1872,25.6622,Romania,RO,Prahova,,15928,15928
Bocsa,45.3747,21.7106,Romania,RO,Caras-Severin,,15842,15842
Marghita,47.35,22.3333,Romania,RO,Bihor,,15770,15770
Baia-Sprie,47.6608,23.6886,Romania,RO,Maramures,,15476,15476
Bragadiru,44.3694,25.9753,Romania,RO,Ilfov,,15329,15329
Ludus,46.4778,24.0961,Romania,RO,Mures,,15328,15328
Urziceni,44.7181,26.6453,Romania,RO,Ialomita,,15308,15308
Viseu de Sus,47.7111,24.4264,Romania,RO,Maramures,,15037,15037
Rasnov,45.5931,25.4603,Romania,RO,Brasov,,15022,15022
Buhusi,46.715,26.7042,Romania,RO,Bacau,,14562,14562
Brad,46.1294,22.79,Romania,RO,Hunedoara,,14495,14495
Vatra Dornei,47.35,25.3667,Romania,RO,Suceava,,14429,14429
Mizil,45,26.4406,Romania,RO,Prahova,,14312,14312
Cisnadie,45.7128,24.1508,Romania,RO,Sibiu,,14282,14282
Pucioasa,45.0742,25.4342,Romania,RO,Dambovita,,14254,14254
Chitila,44.5172,25.9753,Romania,RO,Ilfov,,14184,14184
Zimnicea,43.6539,25.365,Romania,RO,Teleorman,,14058,14058
Toplita,46.9918,25.3709,Romania,RO,Harghita,,13929,13929
Otopeni,44.55,26.07,Romania,RO,Ilfov,,13861,13861
Ovidiu,44.27,28.56,Romania,RO,Constanta,,13847,13847
Gura Humorului,47.5542,25.8875,Romania,RO,Suceava,,13667,13667
Jimbolia,45.7917,20.7222,Romania,RO,Timis,,13597,13597
Gaesti,44.7208,25.3147,Romania,RO,Dambovita,,13317,13317
Vicovu de Sus,47.9258,25.68,Romania,RO,Suceava,,13308,13308
Ocna Mures,46.39,23.86,Romania,RO,Alba,,13036,13036
Bolintin Vale,44.4472,25.7572,Romania,RO,Giurgiu,,12929,12929
Avrig,45.7081,24.4,Romania,RO,Sibiu,,12815,12815
Pecica,46.17,21.07,Romania,RO,Arad,,12762,12762
Simeria,45.85,23.01,Romania,RO,Hunedoara,,12556,12556
Valu lui Traian,44.165,28.455,Romania,RO,Constanta,,12376,12376
Moldova Noua,44.7347,21.6664,Romania,RO,Caras-Severin,,12350,12350
Cumpana,44.1128,28.5558,Romania,RO,Constanta,,12333,12333
Sannicolau Mare,46.0722,20.6294,Romania,RO,Timis,,12312,12312
Darmanesti,46.37,26.4797,Romania,RO,Bacau,,12247,12247
Jilava,44.3333,26.0833,Romania,RO,Ilfov,,12223,12223
Dabuleni,43.8011,24.0919,Romania,RO,Dolj,,12175,12175
Comarnic,45.2511,25.6353,Romania,RO,Prahova,,11970,11970
Negresti-Oas,47.8694,23.4242,Romania,RO,Satu Mare,,11867,11867
Rovinari,44.9125,23.1622,Romania,RO,Gorj,,11816,11816
Scornicesti,44.57,24.55,Romania,RO,Olt,,11766,11766
Targu Lapus,47.4525,23.8631,Romania,RO,Maramures,,11744,11744
Valenii de Munte,45.1856,26.0397,Romania,RO,Prahova,,11707,11707
Matca,45.85,27.5333,Romania,RO,Galati,,11605,11605
Sacueni,47.3525,22.0914,Romania,RO,Bihor,,11526,11526
Videle,44.2833,25.5333,Romania,RO,Teleorman,,11508,11508
Santana,46.35,21.5,Romania,RO,Arad,,11428,11428
Oravita,45.0333,21.6833,Romania,RO,Caras-Severin,,11382,11382
Targu Ocna,46.2803,26.6094,Romania,RO,Bacau,,11300,11300
Calan,45.7361,23.0086,Romania,RO,Hunedoara,,11279,11279
Boldesti-Scaeni,45.03,26.03,Romania,RO,Prahova,,11137,11137
Magurele,44.3461,25.9999,Romania,RO,Ilfov,,11041,11041
Harlau,47.4278,26.9114,Romania,RO,Iasi,,10905,10905
Draganesti-Olt,44.1697,24.53,Romania,RO,Olt,,10894,10894
Cristuru Secuiesc,46.2917,25.0353,Romania,RO,Harghita,,10796,10796
Poiana Mare,43.9127,23.094,Romania,RO,Dolj,,10740,10740
Marasesti,45.88,27.23,Romania,RO,Vrancea,,10671,10671
Beius,46.65,22.35,Romania,RO,Bihor,,10667,10667
Beclean,47.1797,24.1797,Romania,RO,Bistrita-Nasaud,,10628,10628
Urlati,44.9911,26.2306,Romania,RO,Prahova,,10541,10541
Otelu Rosu,45.5333,22.3667,Romania,RO,Caras-Severin,,10510,10510
Strehaia,44.6222,23.1972,Romania,RO,Mehedinti,,10506,10506
Targu Frumos,47.2097,27.0131,Romania,RO,Iasi,,10475,10475
Orsova,44.7253,22.3961,Romania,RO,Mehedinti,,10441,10441
Sinaia,45.35,25.5514,Romania,RO,Prahova,,10410,10410
Jibou,47.2583,23.2583,Romania,RO,Salaj,,10407,10407
Sovata,46.5961,25.0744,Romania,RO,Mures,,10385,10385
Costesti,44.6697,24.88,Romania,RO,Arges,,10375,10375
Ianca,45.135,27.4747,Romania,RO,Braila,,10343,10343
Lipova,46.0894,21.6914,Romania,RO,Arad,,10313,10313
Dolhasca,47.4303,26.6094,Romania,RO,Suceava,,10298,10298
Topoloveni,44.8069,25.0839,Romania,RO,Arges,,10219,10219
Murfatlar,44.1736,28.4083,Romania,RO,Constanta,,10216,10216
Nehoiu,45.4153,26.3082,Romania,RO,Buzau,,10211,10211
Flamanzi,47.5644,26.8728,Romania,RO,Botosani,,10136,10136
Pechea,45.6333,27.8,Romania,RO,Galati,,10126,10126
Covasna,45.8492,26.1853,Romania,RO,Covasna,,10114,10114
Poienile de sub Munte,47.8167,24.4333,Romania,RO,Maramures,,10073,10073
Alesd,47.0572,22.3969,Romania,RO,Bihor,,10066,10066
Valea lui Mihai,47.52,22.13,Romania,RO,Bihor,,9902,9902
Darabani,48.1864,26.5892,Romania,RO,Botosani,,9893,9893
Hateg,45.6075,22.95,Romania,RO,Hunedoara,,9685,9685
Sangeorz-Bai,47.37,24.68,Romania,RO,Bistrita-Nasaud,,9679,9679
Titu,44.6622,25.5736,Romania,RO,Dambovita,,9658,9658
Harsova,44.6833,27.9519,Romania,RO,Constanta,,9642,9642
Liteni,47.52,26.5319,Romania,RO,Suceava,,9596,9596
Podu Iloaiei,47.2167,27.2667,Romania,RO,Iasi,,9573,9573
Odobesti,45.7497,27.1155,Romania,RO,Vrancea,,9364,9364
Huedin,46.8738,23.0041,Romania,RO,Cluj,,9346,9346
Moisei,47.654,24.5507,Romania,RO,Maramures,,9264,9264
Ineu,46.4258,21.8369,Romania,RO,Arad,,9260,9260
Salcea,47.65,26.37,Romania,RO,Suceava,,9015,9015
Seini,47.7478,23.2853,Romania,RO,Maramures,,8987,8987
Uricani,45.3364,23.1525,Romania,RO,Hunedoara,,8972,8972
Babadag,44.8933,28.7119,Romania,RO,Tulcea,,8940,8940
Bumbesti-Jiu,45.1786,23.3814,Romania,RO,Gorj,,8932,8932
Liesti,45.616,27.5442,Romania,RO,Galati,,8902,8902
Busteni,45.4153,25.5375,Romania,RO,Prahova,,8894,8894
Sangeorgiu de Mures,46.5764,24.6042,Romania,RO,Mures,,8800,8800
Agnita,45.9733,24.6172,Romania,RO,Sibiu,,8732,8732
Sabaoani,47.0131,26.8657,Romania,RO,Neamt,,8722,8722
Iernut,46.4533,24.2333,Romania,RO,Mures,,8705,8705
Baraolt,46.075,25.6,Romania,RO,Covasna,,8672,8672
Tasnad,47.4772,22.5833,Romania,RO,Satu Mare,,8631,8631
Bicaz,46.9108,26.0911,Romania,RO,Neamt,,8626,8626
Roznov,46.8356,26.5117,Romania,RO,Neamt,,8593,8593
Marginea,47.8167,25.8333,Romania,RO,Suceava,,8552,8552
Babeni,44.975,24.2311,Romania,RO,Valcea,,8451,8451
Negresti,46.8403,27.4417,Romania,RO,Vaslui,,8380,8380
Recas,45.8014,21.5133,Romania,RO,Timis,,8336,8336
Mihail Kogalniceanu,44.3667,28.4583,Romania,RO,Constanta,,8319,8319
Macin,45.2456,28.1231,Romania,RO,Tulcea,,8245,8245
Tomesti,47.1333,27.7,Romania,RO,Iasi,,8126,8126
Targu Carbunesti,44.9583,23.5064,Romania,RO,Gorj,,8034,8034
Rosu,44.4509,26.0083,Romania,RO,Bucuresti,,8020,8020
Chisineu Cris,46.5225,21.5158,Romania,RO,Arad,,7987,7987
Borcea,44.3294,27.7315,Romania,RO,Calarasi,,7986,7986
Siret,47.95,26.06,Romania,RO,Suceava,,7976,7976
Mihailesti,44.3239,25.9069,Romania,RO,Giurgiu,,7923,7923
Afumati,44.5255,26.2496,Romania,RO,Ilfov,,7919,7919
Domnesti,44.3979,25.9175,Romania,RO,Ilfov,,7910,7910
Prim Decembrie,44.2881,26.06,Romania,RO,Ilfov,,7817,7817
Lumina,44.2833,28.5667,Romania,RO,Constanta,,7800,7800
Budesti,44.23,26.45,Romania,RO,Calarasi,,7725,7725
Panciu,45.91,27.09,Romania,RO,Vrancea,,7664,7664
Vlahita,46.35,25.53,Romania,RO,Harghita,,7649,7649
Campeni,46.3625,23.0456,Romania,RO,Alba,,7629,7629
Mogosoaia,44.5324,26,Romania,RO,Ilfov,,7625,7625
Calimanesti,45.2392,24.3433,Romania,RO,Valcea,,7622,7622
Fieni,45.1222,25.4183,Romania,RO,Dambovita,,7587,7587
Modelu,44.1962,27.3852,Romania,RO,Calarasi,,7564,7564
intorsura Buzaului,45.6728,26.0342,Romania,RO,Covasna,,7528,7528
Dumbravita,45.8019,21.2475,Romania,RO,Timis,,7522,7522
Zlatna,46.1589,23.2211,Romania,RO,Alba,,7490,7490
Anina,45.0917,21.8533,Romania,RO,Caras-Severin,,7485,7485
Chirnogi,44.1167,26.5833,Romania,RO,Calarasi,,7455,7455
Curtici,46.3419,21.3061,Romania,RO,Arad,,7453,7453
Nadlac,46.1667,20.75,Romania,RO,Arad,,7398,7398
Dumbraveni,46.2275,24.5758,Romania,RO,Sibiu,,7388,7388
Victoria,45.6466,24.7059,Romania,RO,Brasov,,7386,7386
Amara,44.62,27.32,Romania,RO,Ialomita,,7345,7345
Branesti,44.4576,26.335,Romania,RO,Ilfov,,7305,7305
Patarlagele,45.3189,26.3597,Romania,RO,Buzau,,7304,7304
Techirghiol,44.0575,28.5958,Romania,RO,Constanta,,7292,7292
Pogoanele,44.9167,27,Romania,RO,Buzau,,7275,7275
Ulmeni,47.4656,23.3003,Romania,RO,Maramures,,7270,7270
Turceni,44.6794,23.3731,Romania,RO,Gorj,,7269,7269
Cehu Silvaniei,47.412,23.18,Romania,RO,Salaj,,7214,7214
Tautii Magherus,47.6678,23.4722,Romania,RO,Maramures,,7136,7136
Murgeni,46.2,28.0167,Romania,RO,Vaslui,,7119,7119
Tismana,45.0506,22.9489,Romania,RO,Gorj,,7035,7035
Buzias,45.65,21.6,Romania,RO,Timis,,7023,7023
Segarcea,44.0919,23.7334,Romania,RO,Dolj,,7019,7019
Dumbraveni,47.661,26.4246,Romania,RO,Suceava,,7002,7002
Saveni,47.9533,26.8589,Romania,RO,Botosani,,6999,6999
Pancota,46.3225,21.6869,Romania,RO,Arad,,6946,6946
Ungheni,46.4858,24.4608,Romania,RO,Mures,,6945,6945
Sarmasu,46.7536,24.1667,Romania,RO,Mures,,6942,6942
Racari,44.6333,25.7333,Romania,RO,Dambovita,,6930,6930
Talmaciu,45.6667,24.2611,Romania,RO,Sibiu,,6905,6905
Cajvana,47.7044,25.9694,Romania,RO,Suceava,,6901,6901
Fundulea,44.4528,26.5153,Romania,RO,Calarasi,,6851,6851
Livada,47.8667,23.1333,Romania,RO,Satu Mare,,6773,6773
Faget,45.85,22.18,Romania,RO,Timis,,6761,6761
Tuzla,44,28.6333,Romania,RO,Constanta,,6711,6711
Sadova,43.9,23.9667,Romania,RO,Dolj,,6705,6705
Teius,46.2,23.68,Romania,RO,Alba,,6695,6695
Diosig,47.3,22,Romania,RO,Bihor,,6529,6529
insuratei,44.9167,27.6,Romania,RO,Braila,,6528,6528
Lehliu-Gara,44.4386,26.8533,Romania,RO,Calarasi,,6502,6502
Cobadin,44.0627,28.2349,Romania,RO,Constanta,,6483,6483
Gilau,46.75,23.3833,Romania,RO,Cluj,,6464,6464
Vladimirescu,46.15,21.4,Romania,RO,Arad,,6445,6445
Dancu,47.153,27.6619,Romania,RO,Iasi,,6444,6444
Peretu,44.05,25.0833,Romania,RO,Teleorman,,6329,6329
Cudalbi,45.7833,27.7,Romania,RO,Galati,,6319,6319
Bosanci,47.5833,26.3167,Romania,RO,Suceava,,6304,6304
Piatra Olt,44.3603,24.2942,Romania,RO,Olt,,6299,6299
Bujor,45.8667,27.9,Romania,RO,Galati,,6299,6299
Balotesti,44.6128,26.0787,Romania,RO,Ilfov,,6286,6286
Horezu,45.1433,23.9917,Romania,RO,Valcea,,6263,6263
Deta,45.4,21.22,Romania,RO,Timis,,6260,6260
Ardud,47.6333,22.8833,Romania,RO,Satu Mare,,6231,6231
Lunca Cetatuii,47.0931,27.5662,Romania,RO,Iasi,,6227,6227
Dragalina,44.4346,27.3318,Romania,RO,Calarasi,,6218,6218
Remetea,46.7935,25.4503,Romania,RO,Harghita,,6165,6165
Balan,46.6497,25.81,Romania,RO,Harghita,,6115,6115
Sandominic,46.5833,25.7833,Romania,RO,Harghita,,6110,6110
Strejnicu,44.9176,25.9563,Romania,RO,Prahova,,6108,6108
Baciu,46.7928,23.525,Romania,RO,Cluj,,6100,6100
Roseti,44.2106,27.4481,Romania,RO,Calarasi,,6070,6070
Cornetu,44.3434,25.9421,Romania,RO,Ilfov,,6040,6040
Slanic,45.2333,25.9392,Romania,RO,Prahova,,6034,6034
Brezoi,45.3442,24.2394,Romania,RO,Valcea,,6022,6022
Sebis,46.3728,22.1294,Romania,RO,Arad,,5979,5979
Apahida,46.8078,23.74,Romania,RO,Cluj,,5966,5966
Berceni,44.3167,26.1833,Romania,RO,Ilfov,,5942,5942
Vicovu de Jos,47.9011,25.7266,Romania,RO,Suceava,,5925,5925
Savinesti,46.8602,26.4687,Romania,RO,Neamt,,5921,5921
Barbulesti,44.7261,26.5992,Romania,RO,Ialomita,,5902,5902
Plosca,44.0236,25.1488,Romania,RO,Teleorman,,5900,5900
Frasin,47.5183,25.7819,Romania,RO,Suceava,,5876,5876
Gataia,45.4333,21.4333,Romania,RO,Timis,,5861,5861
Feldru,47.2833,24.6,Romania,RO,Bistrita-Nasaud,,5760,5760
Potcoava,44.491,24.6083,Romania,RO,Olt,,5743,5743
Peris,44.6833,26.0167,Romania,RO,Ilfov,,5682,5682
Fundeni,44.3833,26.3667,Romania,RO,Calarasi,,5658,5658
Giroc,45.7,21.2333,Romania,RO,Timis,,5652,5652
Oituz,46.2039,26.6231,Romania,RO,Bacau,,5623,5623
Rucar,45.3886,25.1741,Romania,RO,Arges,,5610,5610
Curcani,44.1985,26.5882,Romania,RO,Calarasi,,5609,5609
Macea,46.38,21.33,Romania,RO,Arad,,5600,5600
Rodna,47.4217,24.8122,Romania,RO,Bistrita-Nasaud,,5587,5587
Miercurea Nirajului,46.53,24.8,Romania,RO,Mures,,5554,5554
Ruscova,47.7883,24.2808,Romania,RO,Maramures,,5541,5541
Brosteni,47.2442,25.6981,Romania,RO,Suceava,,5506,5506
Glina,44.3833,26.25,Romania,RO,Ilfov,,5494,5494
Novaci-Straini,45.18,23.67,Romania,RO,Gorj,,5431,5431
Saliste,45.7942,23.8864,Romania,RO,Sibiu,,5421,5421
Copsa Mica,46.1125,24.2306,Romania,RO,Sibiu,,5404,5404
Motatei,44.1,23.2,Romania,RO,Dolj,,5403,5403
Gugesti,45.567,27.1287,Romania,RO,Vrancea,,5394,5394
Sancraiu de Mures,46.55,24.52,Romania,RO,Mures,,5385,5385
Baia de Arama,45,22.8114,Romania,RO,Mehedinti,,5349,5349
Ciacova,45.5,21.1333,Romania,RO,Timis,,5348,5348
Maieru,47.4003,24.7467,Romania,RO,Bistrita-Nasaud,,5326,5326
Vanju-Mare,44.4319,22.8769,Romania,RO,Mehedinti,,5311,5311
Prejmer,45.7205,25.7715,Romania,RO,Brasov,,5297,5297
Geoagiu,45.92,23.2,Romania,RO,Hunedoara,,5294,5294
Dobroesti,44.451,26.1833,Romania,RO,Ilfov,,5274,5274
Rupea,46.0389,25.2225,Romania,RO,Brasov,,5269,5269
Arbore,47.7313,25.92,Romania,RO,Suceava,,5259,5259
Homocea,46.1375,27.2412,Romania,RO,Vrancea,,5250,5250
Corund,46.4667,25.1833,Romania,RO,Harghita,,5228,5228
Tufesti,44.9914,27.8097,Romania,RO,Braila,,5226,5226
Giarmata,45.8367,21.31,Romania,RO,Timis,,5210,5210
Baia,47.4183,26.219,Romania,RO,Suceava,,5197,5197
Sangeorgiu de Padure,46.4303,24.8417,Romania,RO,Mures,,5166,5166
Horodnicu de Sus,47.8356,25.8354,Romania,RO,Suceava,,5136,5136
Greci,45.1833,28.2333,Romania,RO,Tulcea,,5117,5117
Tudora,47.5167,26.6333,Romania,RO,Botosani,,5096,5096
Straja,47.92,25.55,Romania,RO,Suceava,,5094,5094
Negru Voda,43.8181,28.2125,Romania,RO,Constanta,,5088,5088
Rasinari,45.7,24.0667,Romania,RO,Sibiu,,5086,5086
Abrud,46.2739,23.05,Romania,RO,Alba,,5072,5072
Ostrov,44.102,27.4017,Romania,RO,Constanta,,5069,5069
Raducaneni,46.9659,27.9231,Romania,RO,Iasi,,5065,5065
Paunesti,46.0323,27.1134,Romania,RO,Vrancea,,5034,5034
Isaccea,45.2697,28.4597,Romania,RO,Tulcea,,5026,5026
Baile Herculane,44.8772,22.4175,Romania,RO,Caras-Severin,,5008,5008
Tunari,44.5472,26.1413,Romania,RO,Ilfov,,5007,5007
Milisauti,47.7864,26.0044,Romania,RO,Suceava,,5005,5005
Valea Lupului,47.1774,27.5021,Romania,RO,Iasi,,4982,4982
Cavnic,47.6608,23.8778,Romania,RO,Maramures,,4976,4976
Fierbinti-Targ,44.6833,26.3833,Romania,RO,Ilfov,,4969,4969
Ulmeni,44.15,26.7167,Romania,RO,Calarasi,,4962,4962
Filipestii de Padure,44.9981,25.7431,Romania,RO,Prahova,,4955,4955
Volovat,47.8033,25.8941,Romania,RO,Suceava,,4952,4952
Viseu de Jos,47.725,24.3669,Romania,RO,Maramures,,4934,4934
Corbu,44.3833,28.65,Romania,RO,Constanta,,4908,4908
Salistea de Sus,47.6497,24.35,Romania,RO,Maramures,,4893,4893
Tudor Vladimirescu,45.5634,27.6489,Romania,RO,Galati,,4872,4872
Ditrau,46.8167,25.5167,Romania,RO,Harghita,,4867,4867
Balcesti,44.6132,23.9256,Romania,RO,Valcea,,4864,4864
Agigea,44.0915,28.6104,Romania,RO,Constanta,,4853,4853
Berbesti,44.9882,23.8682,Romania,RO,Valcea,,4836,4836
Sanpetru,45.7063,25.6323,Romania,RO,Brasov,,4819,4819
Izbiceni,43.8206,24.6608,Romania,RO,Olt,,4807,4807
Facaeni,44.57,27.9,Romania,RO,Ialomita,,4795,4795
Cernele,44.3344,23.7444,Romania,RO,Dolj,,4783,4783
Bucov,44.9742,26.0841,Romania,RO,Prahova,,4783,4783
Cetate,44.1114,23.0476,Romania,RO,Dolj,,4781,4781
Predeal,45.5047,25.5786,Romania,RO,Brasov,,4755,4755
Cristesti,46.5,24.4833,Romania,RO,Mures,,4754,4754
Joseni,46.7,25.5,Romania,RO,Harghita,,4749,4749
Marsani,44.0167,24.0167,Romania,RO,Dolj,,4745,4745
Desa,43.8667,23.0333,Romania,RO,Dolj,,4740,4740
Corod,45.9,27.6167,Romania,RO,Galati,,4729,4729
Vanatori-Neamt,47.2157,26.3136,Romania,RO,Neamt,,4726,4726
